id,name,city,type,language,service_mode,operating_hours,contact,description
1,Sneha Foundation,Statewide,Helpline,Both,Phone,24/7,+914424640050,"A 24/7 emotional support center for the depressed, desperate, and suicidal, helping with ExamStress, FamilyStress, HealthStress, FinancialStress, Loneliness, and General support."
2,Jeevan Suicide Prevention Hotline,Statewide,Helpline,Tamil,Phone,24/7,+914425333323,"A 24/7 suicide prevention hotline run by the Mastermind Foundation, assisting those facing ExamStress, FamilyStress, HealthStress, FinancialStress, Loneliness, and General challenges."
3,MS Chellamuthu Trust (Speak2Us),Madurai,Helpline,Both,Phone,4 PM - 10 PM,+919150157948,"A free, confidential listening service for anyone in distress based in Madurai, covering ExamStress, FamilyStress, HealthStress, FinancialStress, Loneliness, and General concerns."
4,The Banyan,Chennai,NGO,Tamil,In-Person,10 AM - 5 PM,+919677121099,"Provides mental health services for the homeless and marginalized communities, addressing ExamStress, FamilyStress, HealthStress, FinancialStress, Loneliness, and General issues."
5,Vazhikatti Mental Health Centre,Coimbatore,Hospital,Tamil,In-Person,Varies,+914222531165,"Comprehensive mental health services including emergency care and therapy, offering help for ExamStress, FamilyStress, HealthStress, FinancialStress, Loneliness, and General needs"
6,Tele-MANAS,Statewide,Helpline,Both,Phone,24/7,14416,"A government initiative providing 24/7 mental health support and counseling in multiple languages, covering ExamStress, FamilyStress, HealthStress, FinancialStress, Loneliness, and General care"
7,KIRAN Helpline,Statewide,Helpline,Both,Phone,24/7,18005990019,"A 24/7 mental health rehabilitation helpline merged with Tele-MANAS, supporting ExamStress, FamilyStress, HealthStress, FinancialStress, Loneliness, and General struggles."
8,The Mind Research Foundation,Chennai,NGO,Both,In-Person,9 AM - 6 PM,+919080269050,"A foundation offering psychological counseling, therapy, and workshops to manage ExamStress, FamilyStress, HealthStress, FinancialStress, Loneliness, and General problems."
9,SCARF India,Chennai,NGO,Both,In-Person,9 AM - 5 PM,+914426565452,"A well-known organization providing rehabilitation and mental health support for ExamStress, FamilyStress, HealthStress, FinancialStress, Loneliness, and General wellbeing."
10,Naveen Mental Hospital,Coimbatore,Hospital,Both,In-Person,24/7,+914222533666,"A hospital specializing in de-addiction, rehabilitation, and psychiatric care, assisting with ExamStress, FamilyStress, HealthStress, FinancialStress, Loneliness, and General recovery."
11,Adhiparasakthi Psychiatric Rehabilitation Centre,Chennai,Rehabilitation Centre,Both,In-Person,24/7,+914427529456,"Offers psychiatric rehabilitation services for men and women, addressing ExamStress, FamilyStress, HealthStress, FinancialStress, Loneliness, and General concerns."
12,Lotus Wellness & Rehabilitation,Coimbatore,Rehabilitation Centre,Both,In-Person,24/7,+918925501865,"Provides residential treatment and wellness programs for mental health, including ExamStress, FamilyStress, HealthStress, FinancialStress, Loneliness, and General support."
13,The Mind Centre,Chennai,Counseling Center,Both,In-Person,10 AM - 6 PM,+919840332303,"A clinic offering psychological counseling and therapy to deal with ExamStress, FamilyStress, HealthStress, FinancialStress, Loneliness, and General challenges."
14,Jeevan Aastha,Statewide,Helpline,Both,Phone,24/7,18002333330,"A nationwide suicide prevention and mental health counseling helpline, assisting people with ExamStress, FamilyStress, HealthStress, FinancialStress, Loneliness, and General worries."
15,Vandrevala Foundation,Statewide,Helpline,Both,Phone,24/7,+919999666555,"A non-profit providing free psychological crisis intervention for those suffering from ExamStress, FamilyStress, HealthStress, FinancialStress, Loneliness, and General difficulties."
16,The Mind Care Clinic,Chennai,Counseling Center,Both,In-Person,10 AM - 6 PM,+919500051188,"Offers counseling, psychotherapy, and psychiatric evaluations, covering ExamStress, FamilyStress, HealthStress, FinancialStress, Loneliness, and General aspects."
17,Aasra,Statewide,Helpline,Both,Phone,24/7,+912227546669,"A crisis intervention center for the distressed and suicidal, supporting ExamStress, FamilyStress, HealthStress, FinancialStress, Loneliness, and General needs."
18,Parivarthan,Statewide,Helpline,Both,Phone,1 PM - 10 PM,+917676602602,"Provides counseling services in multiple languages, assisting with ExamStress, FamilyStress, HealthStress, FinancialStress, Loneliness, and General mental health."
